Observ.	Wage	LogWage	Female	Age	Educ	Parttime
351	182	5.204	1	59	3	1
352	233	5.451	0	49	3	0
353	208	5.338	0	46	3	0
354	81	4.394	1	29	3	0
355	114	4.736	0	44	3	0
356	71	4.263	1	39	3	0
357	190	5.247	0	50	3	1
358	88	4.477	0	24	3	0
359	90	4.500	0	21	3	0
360	184	5.215	0	54	3	0
361	98	4.585	0	39	3	0
362	110	4.700	0	33	3	0
363	109	4.691	1	27	3	0
364	138	4.927	0	39	3	0
365	133	4.890	0	52	3	1
366	116	4.754	0	30	3	0
367	82	4.407	0	26	3	0
368	99	4.595	0	32	3	0
369	160	5.075	0	49	3	1
370	136	4.913	0	41	3	0
371	96	4.564	0	35	3	0
372	70	4.248	0	25	3	0
373	170	5.136	0	49	3	0
374	124	4.820	0	43	3	0
375	101	4.615	1	28	3	0
376	95	4.554	0	23	3	0
377	148	4.997	0	49	3	0
378	156	5.050	1	54	3	1
379	145	4.977	1	36	3	0
380	124	4.820	0	42	3	0
381	145	4.977	1	28	3	0
382	101	4.615	1	27	3	0
383	220	5.394	1	46	3	0
384	90	4.500	0	25	3	0
385	99	4.595	0	30	3	0
386	165	5.106	0	50	3	1
387	129	4.860	1	39	3	0
388	132	4.883	1	39	3	0
389	111	4.710	0	34	3	0
390	107	4.673	0	40	3	0
391	129	4.860	0	39	3	0
392	96	4.564	0	42	3	1
393	117	4.762	1	30	3	0
394	104	4.644	0	37	3	0
395	76	4.331	0	22	3	0
396	287	5.659	0	54	3	0
397	146	4.984	0	59	3	1
398	112	4.718	0	32	3	0
399	180	5.193	0	41	3	0
400	102	4.625	0	36	3	0
401	158	5.063	0	48	3	0
402	73	4.290	1	25	3	0
403	164	5.100	1	66	3	1
404	125	4.828	0	38	3	0
405	85	4.443	1	27	3	0
406	143	4.963	0	47	3	1
407	97	4.575	0	44	3	1
408	68	4.220	0	28	3	0
409	89	4.489	0	21	3	0
410	63	4.143	0	20	3	0
411	183	5.209	0	44	3	0
412	134	4.898	0	46	3	0
413	144	4.970	0	39	3	0
414	197	5.283	0	59	3	1
415	70	4.248	0	23	3	0
416	180	5.193	0	44	3	0
417	113	4.727	0	32	3	0
418	65	4.174	1	32	3	1
419	184	5.215	0	62	3	0
420	65	4.174	1	24	3	0
421	206	5.328	0	46	3	0
422	71	4.263	0	32	3	0
423	196	5.278	0	32	3	0
424	215	5.371	0	49	3	1
425	99	4.595	1	44	3	1
426	182	5.204	0	44	3	0
427	140	4.942	0	55	3	1
428	86	4.454	0	35	3	0
429	184	5.215	1	51	3	0
430	166	5.112	1	52	3	1
431	96	4.564	0	42	3	1
432	166	5.112	0	49	3	1
433	60	4.094	1	37	3	1
434	135	4.905	0	50	3	1
435	111	4.710	1	38	3	1
436	207	5.333	0	50	4	1
437	194	5.268	0	44	4	0
438	200	5.298	0	44	4	0
439	140	4.942	0	27	4	0
440	186	5.226	0	39	4	0
441	206	5.328	0	64	4	1
442	120	4.787	0	35	4	0
443	148	4.997	0	32	4	0
444	139	4.934	1	39	4	1
445	182	5.204	0	24	4	0
446	182	5.204	0	30	4	0
447	187	5.231	1	54	4	1
448	320	5.768	0	59	4	1
449	182	5.204	0	32	4	0
450	200	5.298	0	33	4	0
451	215	5.371	1	62	4	1
452	205	5.323	0	34	4	0
453	235	5.460	0	43	4	0
454	140	4.942	1	37	4	1
455	214	5.366	0	39	4	0
456	240	5.481	0	42	4	0
457	271	5.602	0	34	4	0
458	238	5.472	1	59	4	0
459	224	5.412	1	47	4	1
460	266	5.583	0	68	4	1
461	144	4.970	0	27	4	0
462	152	5.024	0	59	4	1
463	160	5.075	0	36	4	0
464	210	5.347	0	44	4	0
465	195	5.273	0	59	4	1
466	281	5.638	0	54	4	1
467	169	5.130	0	32	4	0
468	170	5.136	0	32	4	0
469	205	5.323	0	47	4	0
470	127	4.844	0	39	4	0
471	110	4.700	0	29	4	0
472	139	4.934	0	35	4	0
473	154	5.037	0	28	4	0
474	264	5.576	0	36	4	0
475	221	5.398	0	60	4	1
476	123	4.812	0	35	4	0
477	162	5.088	0	44	4	0
478	133	4.890	0	40	4	1
479	206	5.328	0	49	4	1
480	313	5.746	0	45	4	0
481	324	5.781	0	46	4	0
482	250	5.521	0	39	4	0
483	168	5.124	0	38	4	0
484	165	5.106	0	36	4	0
485	180	5.193	0	36	4	0
486	264	5.576	0	46	4	0
487	181	5.198	0	49	4	1
488	120	4.787	0	27	4	0
489	180	5.193	0	43	4	0
490	222	5.403	0	31	4	0
491	200	5.298	0	34	4	0
492	148	4.997	0	29	4	0
493	285	5.652	0	64	4	1
494	384	5.951	0	49	4	0
495	128	4.852	0	34	4	0
496	139	4.934	0	32	4	0
497	124	4.820	0	33	4	0
498	173	5.153	0	38	4	0
499	154	5.037	0	27	4	0
500	141	4.949	0	29	4	0
